Category,Field of study,1970-71,1975-76,1980-81,1985-86,1990-91,1995-96,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12
Liberal Arts,"Area, ethnic, cultural, gender, and group studies ...................................",2579,3577,2887,3021,4776,5633,6160,6390,6634,7181,7569,7879,8194,8454,8772,8621,9100,9232
Liberal Arts,English language and literature/letters .......................,63914,41452,31922,34083,51064,49928,50569,52375,53699,53984,54379,55096,55122,55038,55462,53231,52744,53767
Liberal Arts,Family and consumer sciences/human sciences ...........,11167,17409,18370,13847,13920,14353,16421,16938,17929,19172,20074,20775,21400,21870,21905,21818,22444,23428
Liberal Arts,"Foreign languages, literatures, and linguistics .........................",20988,17068,11638,11550,13937,14832,16128,16258,16912,17754,18386,19410,20275,20977,21158,21516,21706,21764
Liberal Arts,"Liberal arts and sciences, general studies,
   and humanities ...............................",7481,18855,21643,21336,30526,33997,37962,39333,40480,42106,43751,44898,44255,46940,47096,46953,46727,46925
Liberal Arts,Multi/interdisciplinary studies ................................,6324,13709,12986,13754,17774,26885,26478,28049,27449,28047,28939,30583,32111,34174,35375,37648,42228,45716
Liberal Arts,Philosophy and religious studies ..................................,8149,8447,6776,6396,7423,7541,8717,9473,10344,11152,11584,11985,11969,12257,12444,12504,12836,12651
Other,Not classified by field of study ...................,0,0,0,0,13258,1756,783,264,0,0,0,0,0,377,0,0,0,0
Science & Eng,Biological and biomedical sciences .......................................,35705,54154,43078,38395,39482,61014,60576,60309,61294,62624,65915,70607,76832,79829,82825,86400,90003,95849
Science & Eng,Computer and information sciences ........................... ,2388,5652,15121,42337,25159,24506,44142,50365,57433,59488,54111,47480,42170,38476,37994,39589,43072,47384
Science & Eng,Engineering ...........................................,45034,38733,63642,77391,62448,62168,58209,59536,62567,63410,64707,66841,66874,68431,68911,72654,76376,81382
Science & Eng,Engineering technologies ................................,5148,7943,11713,19731,17303,15829,14660,15052,14664,14669,14837,14565,14980,15177,15503,16075,16741,17158
Science & Eng,Mathematics and statistics ........................................,24801,15984,11078,16122,14393,12713,11171,11950,12505,13327,14351,14770,14954,15192,15496,16030,17182,18842
Science & Eng,Physical sciences and science technologies .............................,21410,21458,23936,21711,16334,19716,18025,17890,18038,18131,19104,20522,21291,22179,22688,23379,24712,26663
Social Science,Psychology .........................................,38187,50278,41068,40628,58655,73416,73645,76775,78650,82098,85614,88134,90039,92587,94271,97216,100893,108986
Social Science,Social sciences and history ........................................,155324,126396,100513,93840,125107,126479,128036,132874,143256,150357,156892,161485,164183,167363,168500,172780,177144,178543
Occupational,Agriculture and natural resources ..................,12672,19402,21886,16823,13124,21425,23370,23331,23348,22835,23002,23053,23133,24113,24988,26336,28623,30929
Occupational,Architecture and related services .......................,5570,9146,9455,9119,9781,8352,8480,8808,9056,8838,9237,9515,9717,9805,10119,10051,9832,9728
Occupational,Business ...........................................................,115396,143171,200521,236700,249165,226623,263515,278217,293391,307149,311574,318042,327531,335254,347985,358293,365093,366815
Occupational,"Communication, journalism, and related programs ..............................................",10324,20045,29428,41666,51650,47320,58013,62791,67895,70968,72715,73955,74783,76382,78009,81266,83274,83770
Occupational,Communications technologies ..........................,478,1237,1854,1479,1397,853,1178,1245,1933,2034,2523,2981,3637,4666,5100,4782,4858,4982
Occupational,Health professions and related programs ............................,25223,53885,63665,65309,59875,86087,75933,72887,71261,73934,80685,91973,101810,111478,120488,129634,143430,163440
Occupational,"Homeland security, law enforcement, and
   firefighting .................................",2045,12507,13707,12704,16806,24810,25211,25536,26200,28175,30723,35319,39206,40235,41800,43667,47602,53767
Occupational,Military technologies and applied sciences ................................,357,952,42,255,183,7,21,3,6,10,40,33,168,39,55,56,64,86
Occupational,"Parks, recreation, leisure, and fitness studies ...................",1621,5182,5729,4623,4315,12974,17948,18885,21432,22164,22888,25490,27430,29931,31667,33318,35924,38993
Occupational,Precision production ....................................,0,0,0,2,2,12,31,47,42,61,64,55,23,33,29,29,43,37
Occupational,Theology and religious vocations ....................,3720,5490,5808,5510,4799,5292,6945,7762,7962,8126,9284,8548,8696,8992,8940,8718,9074,9369
Occupational,Transportation and materials moving .....................,0,225,263,1838,2622,3561,3748,4020,4631,4824,4904,5349,5657,5203,5189,4998,4941,4876
Occupational,Visual and performing arts ...............................,30394,42138,40479,37241,42186,49296,61148,66773,71482,77181,80955,83297,85186,87703,89140,91802,93956,95797
Occupational,Education ...............................................,176307,154437,108074,87147,110807,105384,105458,106295,105845,106278,105451,107238,105641,102582,101708,101265,103992,105785
Occupational,Legal professions and studies ...................................,545,531,776,1223,1827,2123,1991,2003,2474,2841,3161,3302,3596,3771,3822,3886,4429,4592
Occupational,Library science ..........................................,1013,843,375,155,90,58,52,74,99,72,76,76,82,68,78,85,96,95
Occupational,Public administration and social services ........................,5466,15440,16707,11887,14350,19849,19447,19392,19900,20552,21769,21986,23147,23493,23851,25414,26774,29695
