Year,US Population
1971,207660677
1972,209896021
1973,211908788
1974,213853928
1975,215973199
1976,218035164
1977,220239425
1978,222584545
1979,225055487
1980,227224681
1981,229465714
1982,231664458
1983,233791994
1984,235824902
1985,237923795
1986,240132887
1987,242288918
1988,244498982
1989,246819230
1990,249464396
1991,252153092
1992,255029699
1993,257782608
1994,260327021
1995,262803276
1996,265228572
1997,267783607
1998,270248003
1999,272690813
2000,282162411
2001,284968955
2002,287625193
2003,290107933
2004,292805298
2005,295516599
2006,298379912
2007,301231207
2008,304093966
2009,306771529
2010,309349689
2011,311582564
2012,313873685
